,URL
49,http://www.lapresse.ca/actualites/politique/politique-canadienne/201511/10/01-4919274-enquete-canadienne-sur-les-femmes-autochtones-des-consultations-sous-peu.php
50,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/21/01-4613479-les-chefs-autochtones-reclament-une-rencontre-avec-harper.php
51,http://www.lapresse.ca/debats/chroniques/rima-elkouri/201510/27/01-4914331-toutes-ces-larmes-ignorees.php
52,http://www.lapresse.ca/actualites/national/201309/02/01-4685255-idle-no-more-les-manifestations-ont-coute-180-000-a-la-grc.php
53,http://www.lapresse.ca/arts/festivals/autres-festivals/201306/21/01-4663783-23e-festival-presence-autochtone-place-aux-arts.php
54,http://www.lapresse.ca/actualites/national/201212/23/01-4606496-idle-no-more-reseaux-sociaux-actifs-mais-peu-de-reponses.php
55,http://www.lapresse.ca/debats/votre-opinion/201301/14/01-4611182-theresa-spence-nous-fait-honte.php
56,http://www.lapresse.ca/actualites/national/201303/11/01-4629897-grande-marche-pour-les-autochtones-deja-3000-km-parcourus.php
57,http://www.lapresse.ca/actualites/quebec-canada/national/201301/09/01-4609650-idle-no-more-le-rapporteur-de-lonu-ajoute-son-grain-de-sel.php
58,http://www.lapresse.ca/actualites/montreal/201408/09/01-4790493-des-centaines-de-personnes-marchent-pour-denoncer-la-lesbophobie.php
59,http://www.lapresse.ca/actualites/national/201306/26/01-4665075-idle-no-more-la-lutte-par-la-voie-juridique.php
60,http://www.lapresse.ca/actualites/politique/politique-canadienne/201409/28/01-4804354-enquete-sur-le-renseignement-depart-dun-verificateur-exige.php
61,http://www.lapresse.ca/actualites/quebec-canada/politique-canadienne/201212/11/01-4602858-la-grande-chef-dattawapiskat-entame-une-greve-de-la-faim.php
62,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/17/01-4612313-autochtones-harper-doit-sinspirer-du-quebec-estime-mulcair.php
63,http://www.lapresse.ca/actualites/quebec-canada/politique-canadienne/201301/27/01-4615598-rentree-parlementaire-mouvementee-en-vue-a-ottawa.php
64,http://www.lapresse.ca/actualites/national/201303/24/01-4634314-marche-de-1600-km-mission-accomplie-pour-six-jeunes-cris.php
65,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/04/01-4608358-idle-no-more-rencontre-au-sommet.php
66,http://www.lapresse.ca/actualites/national/201301/14/01-4611070-la-paix-des-braves-un-exemple-pour-ottawa-croit-landry.php
67,http://www.lapresse.ca/actualites/national/201310/07/01-4697451-idle-no-more-se-fait-entendre-pour-les-250-ans-de-la-proclamation-royale.php
68,http://www.lapresse.ca/actualites/national/201212/28/01-4607225-la-ministre-aglukkaq-veut-que-theresa-spence-cesse-sa-greve-de-la-faim.php
69,http://www.lapresse.ca/actualites/national/201302/10/01-4620207-traite-de-paris-autochtones-et-allochtones-se-souviennent.php
70,http://www.lapresse.ca/actualites/national/201301/06/01-4608686-idle-no-more-le-blocus-ferroviaire-a-pris-fin.php
71,http://www.lapresse.ca/actualites/politique/politique-canadienne/201212/23/01-4606537-une-greve-de-la-faim-pour-denoncer-des-politiques-de-harper.php
72,http://www.lapresse.ca/actualites/national/201302/19/01-4623114-angela-davis-une-militante-toujours-au-front.php
73,http://www.lapresse.ca/actualites/201507/07/01-4883625-la-crise-doka-a-inspire-des-mouvements-autochtones-partout-au-monde.php
74,http://www.lapresse.ca/debats/chroniques/rima-elkouri/201301/19/01-4612961-occupation-double-no-more.php
75,http://www.lapresse.ca/actualites/quebec-canada/national/201301/10/01-4610210-idle-no-more-inquietudes-quant-a-la-violence-dans-les-ecoles.php
76,http://www.lapresse.ca/actualites/national/201301/04/01-4608463-idle-no-more-manifestation-a-fredericton.php
77,http://www.lapresse.ca/actualites/national/201301/23/01-4614064-theresa-spence-met-un-terme-a-sa-greve-de-la-faim.php
78,http://www.lapresse.ca/actualites/national/201301/05/01-4608648-nouveau-blocage-ferroviaire-retards-a-montreal.php
79,http://www.lapresse.ca/actualites/national/201308/28/01-4683825-theresa-spence-reelue-a-la-tete-de-la-reserve-dattawapiskat.php
80,http://www.lapresse.ca/actualites/national/201301/03/01-4608122-idle-no-more-24-jours-de-greve-les-soutiens-sinternationalisent.php
81,http://www.lapresse.ca/environnement/pollution/201302/02/01-4617746-emissions-de-carbone-equation-alarmante.php
82,http://www.lapresse.ca/actualites/politique/politique-canadienne/201301/11/01-4610421-les-premieres-nations-deviennent-une-priorite.php
83,http://www.lapresse.ca/actualites/national/201301/11/01-4610520-des-autochtones-bloquent-un-chemin-de-fer-en-nouvelle-ecosse.php
84,http://www.lapresse.ca/arts/nouvelles/201605/04/01-4978037-voix-autochtones-les-enfants-de-riel.php
