,URL
57,https://www.thestar.com//news/canada/2015/07/07/first-nations-chief-bellegarde-calls-for-reconciliation.html
58,https://www.thestar.com//opinion/editorialopinion/2013/01/03/kelowna_accord_holds_key_to_native_renewal.html
59,https://www.thestar.com//opinion/editorials/2012/12/21/ottawa_should_step_up_on_native_education.html
60,https://www.thestar.com//opinion/commentary/2014/12/03/well_be_defined_by_how_we_deal_with_aboriginals_siddiqui.html
61,https://www.thestar.com//opinion/editorialopinion/2013/01/20/tom_mulcair_calls_for_respectful_nationtonation_relations_with_aboriginal_peoples.html
62,https://www.thestar.com//news/canada/2014/12/09/a_bill_meant_to_sow_conflict_confrontation_with_natives_does_its_job_tim_harper.html
63,https://www.thestar.com//entertainment/books/2014/11/09/indigenous_writers_take_the_stage_at_inspire_book_fair.html
64,https://www.thestar.com//news/canada/2013/10/07/idle_no_more_protesters_mark_250th_anniversary_of_royal_proclamation.html
65,https://www.thestar.com//news/canada/2014/08/17/fracking_protest_raised_government_concerns_of_new_idle_no_more.html
66,https://www.thestar.com//opinion/editorials/2013/01/14/first_nations_disarray_is_not_a_winning_strategy_editorial.html
67,https://www.thestar.com//news/canada/2013/01/16/ndp_leader_thomas_mulcair_goes_after_minds_of_canadians_on_first_nations_issues.html
68,https://www.thestar.com//news/insight/2013/03/01/analysis_why_we_should_worry_about_who_were_jailing.html
69,https://www.thestar.com//news/gta/2017/07/01/everything-you-need-to-know-to-mark-canada-day-in-toronto.html
70,https://www.thestar.com//news/canada/2013/01/09/theresa_spence_wont_meet_with_stephen_harper_unless_governorgeneral_attends.html
71,https://www.thestar.com//news/canada/2013/01/15/idle_no_more_chief_says_protesters_wont_block_ambassador_bridge_border_crossing.html
72,https://www.thestar.com//opinion/commentary/2016/06/09/muhammad-alis-enduring-lesson.html
73,https://www.thestar.com//news/gta/2015/04/18/opponents-position-bill-c-51-as-election-issue.html
74,https://www.thestar.com//news/canada/2013/01/14/shawn_atleo_stepping_aside_as_afn_national_chief.html
75,https://www.thestar.com//news/canada/2013/06/16/shawn_atleo_assembly_of_first_nations_chief_has_little_to_show_his_people_tim_harper.html
76,https://www.thestar.com//news/gta/2013/10/18/enbridge_pipeline_protesters_converge_on_line_9b_hearings.html
77,https://www.thestar.com//news/gta/2017/01/27/a-last-stand-for-public-space-micallef.html
78,https://www.thestar.com//news/canada/2013/01/04/prime_minister_stephen_harper_to_meet_first_nations_leaders_jan_11.html
79,https://www.thestar.com//news/canada/2014/06/02/energy_wars_pipelines_define_environmental_struggle.html
80,https://www.thestar.com//opinion/commentary/2015/10/15/tories-built-lethal-legacy-for-first-nations.html
81,https://www.thestar.com//opinion/editorials/2015/08/16/first-nations-need-a-better-partner-in-ottawa-editorial.html
82,https://www.thestar.com//news/canada/2015/03/18/federal-government-eyes-protests-in-national-risk-forecast.html
83,https://www.thestar.com//opinion/editorialopinion/2013/01/27/idle_no_more_deserves_our_thanks.html
84,https://www.thestar.com//news/canada/2013/01/09/attawapiskat_chief_theresa_spences_victoria_island_enclave_a_little_tense.html
85,https://www.thestar.com//opinion/editorials/2013/01/24/chief_theresa_spence_can_end_hunger_strike_with_head_high_editorial.html
86,https://www.thestar.com//entertainment/visualarts/2014/11/19/nadia_myre_wins_2014_sobey_art_award.html
87,https://www.thestar.com//opinion/commentary/2013/04/03/how_martin_luther_kings_legacy_speaks_to_our_canadian_reality.html
88,https://www.thestar.com//news/2013/01/16/idle_no_more_walk_in_windsor.html
89,https://www.thestar.com//news/gta/2015/07/27/rcmp-tracked-toronto-activists-with-fake-facebook-profile.html
90,https://www.thestar.com//news/canada/2014/03/19/greg_rickford_takes_natural_resources_at_crucial_moment.html
91,https://www.thestar.com//news/insight/2013/10/06/spirit_of_great_chief_tecumseh_resonates_200_years_later.html
92,https://www.thestar.com//opinion/letters_to_the_editors/2013/01/21/storm_clouds_gathering_around_pm.html
93,https://www.thestar.com//opinion/commentary/2015/09/16/stephen-harpers-war-on-experts.html
94,https://www.thestar.com//news/canada/2013/01/07/attawapiskat_chief_theresa_spence_hunger_strike_hows_her_health_and_how_long_can_she_continue.html
95,https://www.thestar.com//opinion/editorialopinion/2013/01/16/provinces_need_to_be_at_negotiating_table_with_natives.html
96,https://www.thestar.com//news/canada/2017/06/30/executive-director-of-murdered-and-missing-indigenous-women-and-girls-inquiry-resigns.html
97,https://www.thestar.com//opinion/editorials/2015/10/11/ottawa-must-fix-broken-relationship-with-first-nations-editorial.html
98,https://www.thestar.com//news/gta/2014/01/19/the_police_say_suicide_the_family_says_murder.html
99,https://www.thestar.com//opinion/commentary/2013/04/21/the_afn_and_the_pm_retiring_the_missionaries.html
100,https://www.thestar.com//news/canada/2013/01/11/native_protesters_march_outside_stephen_harpers_ottawa_office.html
101,https://www.thestar.com//news/canada/2013/01/17/aboriginal_day_of_protest_a_qualified_success_walkom.html
102,https://www.thestar.com//news/canada/2015/02/26/a-roundtable-laden-with-emotion-and-suspicion-tim-harper.html
103,https://www.thestar.com//opinion/letters_to_the_editors/2013/01/05/pms_silence_deafening.html
104,https://www.thestar.com//news/insight/2016/01/29/did-canadas-election-foreshadow-leftward-tilt-in-us-race-delacourt.html
105,https://www.thestar.com//news/canada/2013/02/26/sen_patrick_brazeau_pleads_not_guilty_plea_to_assault_sexual_assault_charges.html
106,https://www.thestar.com//opinion/editorialopinion/2013/01/17/salutin_whose_country_is_it_anyways.html
107,https://www.thestar.com//news/canada/2013/01/14/ndp_leader_mulcair_raps_tories_for_stance_on_resource_sharing.html
108,https://www.thestar.com//entertainment/television/2017/08/15/the-tick-has-a-brain-and-most-surprisingly-a-soul.html
109,https://www.thestar.com//news/canada/2013/01/12/maude_barlow_others_return_stephen_harpers_awards_over_idle_no_more_protests.html
110,https://www.thestar.com//news/canada/federalbudget/2013/03/21/federal_budget_2013_no_grand_aboriginal_strategy_from_conservative_government.html
111,https://www.thestar.com//opinion/editorialopinion/2013/01/14/native_people_succeed_in_getting_prime_minister_harpers_attention.html
112,https://www.thestar.com//opinion/commentary/2013/03/17/who_will_protect_the_land_from_reckless_development.html
113,https://www.thestar.com//news/canada/2014/09/18/ottawa_admits_to_tracking_hundreds_of_protests.html
114,https://www.thestar.com//news/canada/2017/06/01/a-father-is-still-searching-for-justice-four-years-after-his-daughter-died-when-she-fell-from-a-toronto-balcony.html
115,https://www.thestar.com//life/2016/11/22/author-erin-wunker-explains-how-to-be-a-feminist-killjoy.html
116,https://www.thestar.com//news/canada/2013/02/15/international_ngos_launch_programs_in_first_nations_in_canada.html
117,https://www.thestar.com//news/canada/2012/12/30/attawapiskat_chief_theresa_spence_quite_weak_as_she_meets_mps.html
118,https://www.thestar.com//news/canada/2013/05/19/northern_reserve_ki_wants_25_ordinary_canadians_to_visit_to_experience_its_culture.html
119,https://www.thestar.com//opinion/commentary/2015/08/17/why-mohawks-dont-vote-in-federal-elections.html
120,https://www.thestar.com//news/canada/2013/01/17/ndp_mp_romo_saganash_back_in_ottawa_after_leave_to_treat_alcoholism.html
121,https://www.thestar.com//opinion/commentary/2015/01/01/from_ebola_to_robin_williams_the_year_in_storytelling.html
122,https://www.thestar.com//news/canada/2013/10/23/federal_government_plans_sweeping_first_nations_education_overhaul.html
123,https://www.thestar.com//news/canada/2015/10/31/families-must-be-consulted-before-inquiry-begins-into-missing-indigenous-women.html
124,https://www.thestar.com//news/canada/2015/09/01/despite-need-aboriginal-issues-not-getting-much-attention-in-election-campaign.html
125,https://www.thestar.com//news/politics_blog/2013/02/happy-strangle-a-protester-day.html
126,https://www.thestar.com//news/canada/2013/12/23/was_there_more_to_2013_than_the_senate_scandal_not_much_tim_harper.html
127,https://www.thestar.com//opinion/editorials/2012/12/20/why_idle_no_more_is_gaining_strength_and_why_all_canadians_should_care.html
128,https://www.thestar.com//news/federal-election/2015/10/20/joe-oliver-olivia-chow-and-more-surprising-election-night-upsets.html
129,https://www.thestar.com//news/canada/2013/01/11/first_nations_leaders_want_in_on_natural_resources_boom.html
130,https://www.thestar.com//news/canada/2014/06/10/first_nations_community_invites_canadians_to_experience_life_on_a_reserve.html
131,https://www.thestar.com//news/canada/2017/06/15/trudeau-pines-for-an-endless-summer-harper.html
132,https://www.thestar.com//news/canada/2014/09/29/csis_seeks_to_limit_scope_of_energy_activist_complaint_probe.html
133,https://www.thestar.com//opinion/editorialopinion/2013/02/05/anti_poverty_and_human_rights_groups_shouldertoshoulder_with_idle_no_more.html
134,https://www.thestar.com//news/canada/2013/01/15/what_was_canadas_best_democratic_moment_of_2012_women_premiers_idle_no_more_movement_in_the_running.html
135,https://www.thestar.com//news/canada/2013/01/07/federal_government_audit_severely_critical_of_attawapiskat_chief_theresa_spence.html
136,https://www.thestar.com//news/canada/2012/12/19/tim_harper_first_nations_force_their_way_onto_stephen_harpers_2013_agenda.html
137,https://www.thestar.com//entertainment/books/2014/04/29/persona_non_grata_by_tom_flanagan_review.html
138,https://www.thestar.com//opinion/letters_to_the_editors/2014/11/21/fool_me_once_shame_on_me_.html
139,https://www.thestar.com//news/canada/2013/01/23/ontario_first_nation_broke.html
140,https://www.thestar.com//opinion/commentary/2014/12/27/aboriginal_question_the_most_important_moral_issue_in_canada.html
141,https://www.thestar.com//news/canada/2013/01/08/stephen_harper_should_pick_special_envoy_for_talks_with_native_leaders_tim_harper.html
142,https://www.thestar.com//opinion/letters_to_the_editors/2013/03/14/chavez_doesnt_deserve_the_bad_rap.html
143,https://www.thestar.com//news/canada/2013/01/14/idle_no_more_opp_defends_handsoff_approach_ahead_of_planned_blockades.html
144,https://www.thestar.com//news/canada/2013/01/28/budget_first_nations_trade_pipeline_politics_will_dominate_parliament_hbert.html
145,https://www.thestar.com//news/canada/2013/01/09/prime_minister_stephen_harper_knows_there_must_be_progress_at_summit_with_first_nations_leaders.html
146,https://www.thestar.com//news/canada/2017/07/04/symbols-will-not-meet-trudeaus-goal-of-indigenous-reconciliation.html
147,https://www.thestar.com//news/canada/2013/02/11/wynnes_liberal_cabinet_to_include_nine_rookie_ministers_in_sweeping_shuffle.html
